1	Default-Preset-1-maybe-good-for-character	1,1,1,1,1,1,1,1,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0
2	Default-Preset-2	1,1,0.5,0.5,1,1,0,0,0.25,0.25,0.5,0.5,0.5,0.5,1,1,0,0,0,1,1,0.75,0.75,0.5,0.5,0.5,0.5,1,1,1,1,0.75,0.75,0.25,0.25,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,0,0
3	Default-Preset-3	1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0
4	Charcater-extracted-dreambooth-lora	1,1,1,1,1.15,1.15,1,1,0.25,0.25,0.25,0.25,0.25,0.5,0.25,1.5,1.25,0.25,0
5	char-1	0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1
6	char-3	1,1,1,1,1.15,1.15,1,1,0.25,0.25,0.25,0.25,0.25,0.5,0.25,1.5,1.25,0.25,0,1,1,1,1,1,1,1,1,1.15,1.15,1.15,1.15,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,1.5,1.5,1.25,1.25,0.25,0.25,0,0
7	char-4	1,1,1,1,1.15,1.15,1,1,0.25,0.25,0.25,0.25,0.25,0.5,0.25,1.5,1.25,0.25,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1
8	char-5	0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1.15,1.15,1.15,1.15,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,1.5,1.5,1.25,1.25,0.25,0.25,0,0
9	char-9	0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1.15,1.15,1.15,1,1,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.5,0.25,0.25,1.5,1.5,1.25,1.25,0,0,0,0
10	char-10-similar_to_5	0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1.15,1.15,1.15,1.15,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,1.5,1.5,1.25,1.25,0.25,0.25,0,0
11	MyPreset-8-anatomyPose	0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
